phbarc;phprsu;phcolp;phcocp;phlebi;phlesu;phadul;phfpre;phcocs;tititu;tiauto;Mes;Año
283336;BMM   ;USU  ;OA   ;BMM   ;BMM   ;1;5/03/2025;S    ;Liturgia de Pascua en el Madrid de los Austrias ca. 1600 [;Victoria, Tom?s Luis de (1549-1611);3;2025
101893247;BMM   ;;MA   ;;;;5/03/2025;Q    ;Beethoven symphonies nos. 6-9 /;Beethoven, Ludwig van (1770-1827);3;2025
101489428;BMM   ;USU  ;MA   ;BMM   ;BMM   ;0;4/03/2025;T    ;Mozart y su ?poca /;Salvi, Francesco (1953-);3;2025
100355704;BMM   ;USU  ;MA   ;BMM   ;BMM   ;0;4/03/2025;T    ;La flauta m?gica = Die Zauberfl?te : cuento (?pera) en dos a;Prats, Joan de D?u.;3;2025
100768183;BMM   ;USU  ;MA   ;BMM   ;BMM   ;1;4/03/2025;Q    ;Complete serenades. Series II /;Mozart, Wolfgang Amadeus (1756-1791);3;2025
100104145;BMM   ;USU  ;MA   ;BMM   ;BMM   ;1;4/03/2025;Q    ;ALEXANDER'S ragtime band : and other favorite songs hits 191;;3;2025
100768408;BMM   ;;MA   ;;;;5/03/2025;Q    ;Easy piano classics : 97 pieces for early and intermediate p;;3;2025
100356208;BMM   ;;MA   ;;;;5/03/2025;Q    ;Europ?ische Klavierschule. Band 2 /;Emonts, Fritz (1920-);3;2025
1800345765;BTM   ;AYU  ;MT   ;BTM   ;BTM   ;1;6/03/2025;T    ;Auxiliar administrativo/a del Ayuntamiento de Madrid. Temari;Torres Fonseca, Teresa Mar;3;2025
1800345767;BTM   ;AYU  ;MT   ;BTM   ;BTM   ;1;6/03/2025;T    ;Auxiliar administrativo/a del Ayuntamiento de Madrid. Temari;Torres Fonseca, Teresa Mar;3;2025
291318;BMM   ;;MA   ;;;;5/03/2025;Q    ;Easy dances for solo piano : 86 pieces for early and interme;;3;2025
32400;BMM   ;USU  ;OA   ;BMM   ;BMM   ;1;5/03/2025;S    ;Touch of Evil : Original Motion Picture Soundtrack [;Mancini, Henry (1924-1994);3;2025
1000002177;ATM   ;ATM  ;MOA  ;ATM   ;ATM   ;1;5/03/2025;T    ;El Impuesto sobre Veh?culos de Tracci?n Mec?nica /;Banacloche Palao, Carmen.;3;2025
